transaction_id,product_id,store_id,quantity_sold,sale_date,product_name,category,price,store_name,location,city,state
1,475,82,8,05/03/2023,Product 475,Clothing,269.67,Store 82,"01355 Hall Causeway
Stuartport, WI 38144",New Denisestad,Vermont
9536,338,82,17,02/09/2023,Product 338,Books,378.97,Store 82,"01355 Hall Causeway
Stuartport, WI 38144",New Denisestad,Vermont
7001,740,82,19,04/08/2023,Product 740,Toys,96.43,Store 82,"01355 Hall Causeway
Stuartport, WI 38144",New Denisestad,Vermont
463,814,82,20,03/07/2022,Product 814,Home,154.07,Store 82,"01355 Hall Causeway
Stuartport, WI 38144",New Denisestad,Vermont
4715,991,82,13,12/05/2023,Product 991,Toys,298.3,Store 82,"01355 Hall Causeway
Stuartport, WI 38144",New Denisestad,Vermont
1694,30,82,17,03/05/2022,Product 30,Home,37.92,Store 82,"01355 Hall Causeway
Stuartport, WI 38144",New Denisestad,Vermont
5811,78,82,19,14/04/2022,Product 78,Clothing,339.57,Store 82,"01355 Hall Causeway
Stuartport, WI 38144",New Denisestad,Vermont
8196,365,82,1,14/10/2022,Product 365,Home,321.86,Store 82,"01355 Hall Causeway
Stuartport, WI 38144",New Denisestad,Vermont
9429,419,82,16,30/06/2024,Product 419,Electronics,324.09,Store 82,"01355 Hall Causeway
Stuartport, WI 38144",New Denisestad,Vermont
3511,794,82,12,10/03/2023,Product 794,Toys,476.84,Store 82,"01355 Hall Causeway
Stuartport, WI 38144",New Denisestad,Vermont
8700,18,82,4,09/09/2023,Product 18,Clothing,404.14,Store 82,"01355 Hall Causeway
Stuartport, WI 38144",New Denisestad,Vermont
5300,922,82,8,05/03/2023,Product 922,Clothing,256.63,Store 82,"01355 Hall Causeway
Stuartport, WI 38144",New Denisestad,Vermont
102,973,82,12,19/05/2022,Product 973,Toys,53.33,Store 82,"01355 Hall Causeway
Stuartport, WI 38144",New Denisestad,Vermont
3850,828,82,10,09/06/2024,Product 828,Home,367.41,Store 82,"01355 Hall Causeway
Stuartport, WI 38144",New Denisestad,Vermont
421,102,82,9,20/09/2022,Product 102,Books,81.31,Store 82,"01355 Hall Causeway
Stuartport, WI 38144",New Denisestad,Vermont
7743,102,82,9,30/03/2023,Product 102,Books,81.31,Store 82,"01355 Hall Causeway
Stuartport, WI 38144",New Denisestad,Vermont
4740,979,82,1,24/07/2022,Product 979,Toys,101.27,Store 82,"01355 Hall Causeway
Stuartport, WI 38144",New Denisestad,Vermont
2133,509,82,3,26/08/2023,Product 509,Electronics,386.6,Store 82,"01355 Hall Causeway
Stuartport, WI 38144",New Denisestad,Vermont
6730,318,82,1,11/11/2023,Product 318,Books,332.96,Store 82,"01355 Hall Causeway
Stuartport, WI 38144",New Denisestad,Vermont
3021,666,82,7,30/10/2023,Product 666,Electronics,95.95,Store 82,"01355 Hall Causeway
Stuartport, WI 38144",New Denisestad,Vermont
